date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:42:18	744/744	---MCZ	200	added ('OK')	text/plain	etag:W/%225e860565-88d%22	https://www.utexas.edu/robots.txt		(from )
19:42:18	62411/62411	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Apr%202020%2014:34:15%20GMT	https://www.utexas.edu/	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/index.html	(from )
19:42:19	13889/13889	---M--	200	added ('OK')	application/rss+xml	etag:%221586443732-0%22	https://www.utexas.edu/rss.xml	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/rss.xml	(from https://www.utexas.edu/)
19:42:19	13539/13539	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225e860565-34e3%22	https://www.utexas.edu//safari-pinned-tab.svg	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/safari-pinned-tab.svg	(from https://www.utexas.edu/)
19:42:19	374/374	---M-Z	200	added ('OK')	application/json	etag:W/%225e8edb48-176%22	https://www.utexas.edu/manifest.json	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/manifest.json	(from https://www.utexas.edu/)
19:42:19	1884/1884	---M--	200	added ('OK')	image/png	etag:%225e860564-75c%22	https://www.utexas.edu/favicon-32x32.png	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/favicon-32x32.png	(from https://www.utexas.edu/)
19:42:20	1070/1070	---M--	200	added ('OK')	image/png	etag:%225e8de174-42e%22	https://www.utexas.edu/favicon-16x16.png	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/favicon-16x16.png	(from https://www.utexas.edu/)
19:42:21	6344/6344	---M--	200	added ('OK')	image/png	etag:%225e8e2ecc-18c8%22	https://www.utexas.edu/apple-touch-icon.png	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/apple-touch-icon.png	(from https://www.utexas.edu/)
19:42:21	7587/7587	---M-Z	200	added ('OK')	text/css	etag:W/%225e7b5eba-1da3%22	https://www.utexas.edu/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	(from https://www.utexas.edu/)
19:42:21	144654/144654	---M-Z	200	added ('OK')	text/css	etag:W/%225e6029d2-2350e%22	https://www.utexas.edu/sites/default/files/css/css_vEGuwuitUE1Ojmq5p1pQOmn103CJanFWDySQW-yS2bM.css	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/sites/default/files/css/css_vEGuwuitUE1Ojmq5p1pQOmn103CJanFWDySQW-yS2bM.css	(from https://www.utexas.edu/)
19:42:21	26719/26719	---M-Z	200	added ('OK')	text/css	etag:W/%225e860589-685f%22	https://www.utexas.edu/sites/default/files/css/css_Ocdzx3cRCPEeXp7YvxysxRfscQHwxp1Pk013DycelbQ.css	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/sites/default/files/css/css_Ocdzx3cRCPEeXp7YvxysxRfscQHwxp1Pk013DycelbQ.css	(from https://www.utexas.edu/)
19:42:22	5/5	---M--	200	added ('OK')	text/css	etag:%225dae0c6c-5%22	https://p.typekit.net/p.css?s=1&k=cdl6mlo&ht=tk&f=30818&a=9606145&app=typekit&e=css&q8hs6h	C:/My%20Web%20Sites/Faisal%20bhai/p.typekit.net/p1d27.css	(from https://www.utexas.edu/)
19:42:22	825/825	---M-Z	200	added ('OK')	text/css	etag:W/%225e7b5ebe-339%22	https://www.utexas.edu/sites/default/files/css/css_tPuFuY_HUSrtrt08uRWtdbk6k_1i0N781G47AzGEqts.css	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/sites/default/files/css/css_tPuFuY_HUSrtrt08uRWtdbk6k_1i0N781G47AzGEqts.css	(from https://www.utexas.edu/)
19:42:23	2623/2623	---M-Z	200	added ('OK')	text/css	etag:W/%225e821138-a3f%22	https://www.utexas.edu/sites/default/files/css/css_JLt8Br4AW3qMH-kqlicO_Qn8YqYzDTL2yoEChVHnNpE.css	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/sites/default/files/css/css_JLt8Br4AW3qMH-kqlicO_Qn8YqYzDTL2yoEChVHnNpE.css	(from https://www.utexas.edu/)
19:42:23	146/146	---M-Z	200	added ('OK')	text/css	etag:W/%225e7b5ebf-92%22	https://www.utexas.edu/sites/default/files/css/css_GINGAjXhXmeeu1mkHb89KAZ5vP-2AThuCrPcXQ_RBOY.css	C:/My%20Web%20Sites/Faisal%20bhai/www.utexas.edu/sites/default/files/css/css_GINGAjXhXmeeu1mkHb89KAZ5vP-2AThuCrPcXQ_RBOY.css	(from https://www.utexas.edu/)
